text_input,language,sentiment_score,target_genre
really miserable,en,0.053,Grunge
bahut shandaar,hi,0.901,Bollywood Dance
really hyped,en,0.934,EDM
Me siento frustrado aunque quiero música animado,es,0.805,Reggaeton
really euphoric,en,0.933,EDM
really gleeful,en,0.999,Techno
I am feeling devastated however I want radiant music,en,0.767,Pop
Mood: udaas,hi,0.2,Bollywood Sad
bahut udaas,hi,0.09,Old Classics
Me siento deprimido pero quiero música increíble,es,0.78,Merengue
Mood: thik-thak,hi,0.5,Indie-Pop
bahut udaas,hi,0.055,Old Classics
really weary,en,0.028,Emo
Mood: gleeful,en,0.8,EDM
really heartbroken,en,0.025,Emo
Mood: udaas,hi,0.2,Old Classics
Mood: thik-thak,hi,0.5,Sufi
Mood: udaas,hi,0.2,Bollywood Sad
muy triste,es,0.001,Flamenco
Me siento triste pero quiero música entusiasmado,es,0.942,Salsa
Main dukh hoon phir bhi mujhe kamal gaane sunne hain,hi,0.915,Bollywood Dance
Mood: miserable,en,0.2,Emo
Mood: mellow,en,0.5,Funk
Mood: stable,en,0.5,Funk
bahut shandaar,hi,0.956,Bhangra
I am feeling defeated however I want euphoric music,en,0.806,EDM
muy genial,es,0.99,Reggaeton
muy enojado,es,0.075,Latin Rock
bahut khush,hi,0.879,Bollywood Dance
Me siento dolido aunque quiero música entusiasmado,es,0.9,Reggaeton
Me siento agotado sin embargo quiero música feliz,es,0.909,Reggaeton
Mood: harto,es,0.2,Latin Rock
Mood: animado,es,0.8,Reggaeton
bahut khushi,hi,0.916,Bhangra
really gleeful,en,0.942,Techno
muy frustrado,es,0.089,Latin Rock
I am feeling defeated however I want euphoric music,en,0.788,Pop
Mood: devastated,en,0.2,Emo
Mood: radiant,en,0.8,EDM
Mood: saamanay,hi,0.5,Sufi
really hyped,en,0.949,EDM
Mood: genial,es,0.8,Reggaeton
I am feeling shattered but I want blessed music,en,0.763,Pop
really gloomy,en,0.027,Grunge
muy emocionado,es,0.997,Salsa
Me siento enojado pero quiero música radiante,es,0.842,Salsa
Mood: calmado,es,0.5,Latin Pop
really defeated,en,0.119,Emo
Main tanha hoon phir bhi mujhe utsahit gaane sunne hain,hi,0.906,Bollywood Dance
muy alegre,es,0.915,Salsa
muy entusiasmado,es,0.989,Salsa
I am feeling heartbroken yet I want radiant music,en,0.797,Pop
Main nirash hoon lekin mujhe zindadil gaane sunne hain,hi,0.809,Bollywood Dance
Mood: tanha,hi,0.2,Bollywood Sad
muy increíble,es,0.912,Reggaeton
Main pareshan hoon phir bhi mujhe khushi gaane sunne hain,hi,0.929,Bollywood Dance
Main pareshan hoon par mujhe utsahit gaane sunne hain,hi,0.892,Bhangra
Me siento harto aún así quiero música genial,es,0.752,Merengue
Main nirash hoon lekin mujhe khushi gaane sunne hain,hi,0.887,Bhangra
Me siento triste aunque quiero música alegre,es,0.788,Latin Pop
Me siento agotado pero quiero música emocionado,es,0.864,Reggaeton
Main tanha hoon phir bhi mujhe khushi gaane sunne hain,hi,0.943,Bhangra
Mood: shant,hi,0.5,Sufi
really euphoric,en,0.894,EDM
bahut kamal,hi,0.916,Bollywood Dance
Mood: normal,es,0.5,Merengue
really radiant,en,0.913,Techno
Mood: equilibrado,es,0.5,Latin Pop
muy harto,es,0.041,Flamenco
Mood: anand,hi,0.8,Bollywood Dance
Main tanha hoon magar mujhe shandaar gaane sunne hain,hi,0.784,Sufi
Main bechain hoon lekin mujhe khushi gaane sunne hain,hi,0.757,Sufi
Me siento solo pero quiero música entusiasmado,es,0.95,Reggaeton
I am feeling heartbroken still I want radiant music,en,0.863,Techno
I am feeling heartbroken yet I want euphoric music,en,0.807,Techno
muy frustrado,es,0.015,Latin Rock
muy dolido,es,0.146,Flamenco
Mood: mellow,en,0.5,Funk
really gloomy,en,0.033,Grunge
Mood: saamanay,hi,0.5,Sufi
Mood: radiante,es,0.8,Reggaeton
Mood: composed,en,0.5,Funk
Mood: devastated,en,0.2,Emo
Mood: nirash,hi,0.2,Bollywood Sad
muy solo,es,0.063,Latin Rock
Mood: animado,es,0.8,Reggaeton
muy entusiasmado,es,0.904,Reggaeton
Mood: composed,en,0.5,Funk
Mood: gloomy,en,0.2,Grunge
Mood: thik-thak,hi,0.5,Indie-Pop
Mood: mellow,en,0.5,Pop
Main bechain hoon magar mujhe anand gaane sunne hain,hi,0.793,Sufi
really ecstatic,en,0.941,EDM
Mood: solo,es,0.2,Flamenco
Mood: dukhy,hi,0.2,Old Classics
I am feeling miserable still I want vibrant music,en,0.781,Pop
Mood: ordinary,en,0.5,Funk
Main tanha hoon phir bhi mujhe shandaar gaane sunne hain,hi,0.794,Indie-Pop
really heartbroken,en,0.042,Emo
Me siento agotado pero quiero música emocionado,es,0.929,Reggaeton
Mood: miserable,en,0.2,Grunge
muy animado,es,0.864,Salsa
I am feeling gloomy however I want hyped music,en,0.896,Techno
Mood: dukhy,hi,0.2,Bollywood Sad
Mood: theek,hi,0.5,Indie-Pop
Mood: mast,hi,0.8,Bhangra
Mood: ecstatic,en,0.8,Techno
I am feeling devastated yet I want blessed music,en,0.777,Funk
Me siento harto sin embargo quiero música animado,es,0.799,Merengue
muy genial,es,0.976,Salsa
muy feliz,es,0.941,Salsa
bahut utsahit,hi,0.859,Bhangra
bahut bechain,hi,0.039,Old Classics
bahut dukhy,hi,0.098,Old Classics
muy agotado,es,0.038,Latin Rock
Mood: utsahit,hi,0.8,Bhangra
really heartbroken,en,0.138,Grunge
Mood: genial,es,0.8,Reggaeton
Mood: dolido,es,0.2,Flamenco
muy alegre,es,0.883,Reggaeton
I am feeling miserable yet I want hyped music,en,0.809,Techno
really euphoric,en,0.892,EDM
muy radiante,es,0.883,Reggaeton
muy animado,es,0.901,Reggaeton
Mood: khush,hi,0.8,Bollywood Dance
Main dukh hoon lekin mujhe utsahit gaane sunne hain,hi,0.774,Indie-Pop
I am feeling devastated still I want gleeful music,en,0.778,Pop
Mood: equilibrado,es,0.5,Merengue
Mood: tanha,hi,0.2,Old Classics
bahut khushi,hi,0.868,Bhangra
muy emocionado,es,0.909,Salsa
really defeated,en,0.043,Emo
Me siento enojado pero quiero música radiante,es,0.941,Salsa
I am feeling heartbroken but I want vibrant music,en,0.853,EDM
Main pareshan hoon magar mujhe shandaar gaane sunne hain,hi,0.946,Bhangra
bahut tanha,hi,0.06,Old Classics
Mood: thaka,hi,0.2,Bollywood Sad
really defeated,en,0.038,Emo
I am feeling defeated but I want euphoric music,en,0.945,EDM
Mood: khush,hi,0.8,Bhangra
Mood: detached,en,0.5,Funk
muy triste,es,0.006,Latin Rock
I am feeling weary still I want gleeful music,en,0.949,Techno
really devastated,en,0.046,Grunge
bahut thaka,hi,0.049,Bollywood Sad
Mood: calmado,es,0.5,Latin Pop
Mood: gleeful,en,0.8,Techno
I am feeling defeated yet I want radiant music,en,0.915,Techno
muy enojado,es,0.016,Latin Rock
really shattered,en,0.006,Emo
I am feeling shattered but I want euphoric music,en,0.762,Funk
really hyped,en,0.978,EDM
Mood: utsahit,hi,0.8,Bollywood Dance
bahut bechain,hi,0.04,Old Classics
bahut bechain,hi,0.127,Old Classics
bahut thaka,hi,0.091,Old Classics
muy emocionado,es,0.931,Reggaeton
Main tanha hoon par mujhe utsahit gaane sunne hain,hi,0.943,Bollywood Dance
Main udaas hoon par mujhe khush gaane sunne hain,hi,0.772,Sufi
really gloomy,en,0.099,Grunge
muy emocionado,es,0.965,Reggaeton
Mood: mellow,en,0.5,Pop
muy enojado,es,0.086,Flamenco
Mood: blessed,en,0.8,EDM
bahut shandaar,hi,0.902,Bollywood Dance
muy harto,es,0.047,Latin Rock
bahut khush,hi,0.947,Bollywood Dance
really blessed,en,0.972,Techno
really devastated,en,0.002,Emo
I am feeling miserable but I want ecstatic music,en,0.915,EDM
Mood: weary,en,0.2,Emo
muy enojado,es,0.067,Latin Rock
really euphoric,en,0.873,EDM
Me siento dolido aún así quiero música radiante,es,0.84,Salsa
muy enojado,es,0.144,Latin Rock
Mood: shant,hi,0.5,Indie-Pop
muy enojado,es,0.108,Flamenco
Me siento triste pero quiero música radiante,es,0.767,Latin Pop
bahut mast,hi,0.943,Bhangra
Mood: animado,es,0.8,Salsa
I am feeling devastated yet I want ecstatic music,en,0.861,EDM
bahut kamal,hi,0.899,Bhangra
Mood: genial,es,0.8,Salsa
I am feeling empty yet I want vibrant music,en,0.902,Techno
Mood: dukhy,hi,0.2,Bollywood Sad
muy feliz,es,0.966,Salsa
I am feeling gloomy still I want ecstatic music,en,0.92,Techno
Mood: deprimido,es,0.2,Latin Rock
Mood: defeated,en,0.2,Emo
Mood: detached,en,0.5,Funk
Mood: tranquilo,es,0.5,Merengue
Mood: equilibrado,es,0.5,Merengue
Main tanha hoon magar mujhe khush gaane sunne hain,hi,0.863,Bhangra
really weary,en,0.003,Emo
bahut dukhy,hi,0.016,Bollywood Sad
Mood: mast,hi,0.8,Bollywood Dance
Mood: pareshan,hi,0.2,Old Classics
muy radiante,es,0.934,Reggaeton
Mood: alegre,es,0.8,Salsa
Mood: gloomy,en,0.2,Emo
Mood: hyped,en,0.8,Techno
I am feeling devastated yet I want gleeful music,en,0.861,Techno
Mood: tanha,hi,0.2,Old Classics
Mood: agotado,es,0.2,Latin Rock
muy deprimido,es,0.076,Flamenco
really radiant,en,0.983,EDM
Mood: radiant,en,0.8,EDM
Mood: frustrado,es,0.2,Flamenco
really ecstatic,en,0.931,EDM
really unstoppable,en,0.956,Techno
really ecstatic,en,0.939,Techno
Me siento agotado aunque quiero música entusiasmado,es,0.806,Salsa
I am feeling shattered however I want radiant music,en,0.823,EDM
Mood: ecstatic,en,0.8,Techno
Mood: nirash,hi,0.2,Bollywood Sad
I am feeling shattered but I want radiant music,en,0.823,Techno
Mood: calmado,es,0.5,Latin Pop
I am feeling defeated however I want hyped music,en,0.903,Techno
Mood: defeated,en,0.2,Grunge
really devastated,en,0.026,Emo
Me siento agotado aún así quiero música alegre,es,0.911,Salsa
muy enojado,es,0.056,Flamenco
I am feeling heartbroken however I want unstoppable music,en,0.869,Techno
muy agotado,es,0.036,Latin Rock
Me siento frustrado aún así quiero música emocionado,es,0.937,Reggaeton
Main pareshan hoon magar mujhe mast gaane sunne hain,hi,0.941,Bollywood Dance
Mood: tranquilo,es,0.5,Merengue
bahut shandaar,hi,0.933,Bhangra
Mood: blessed,en,0.8,EDM
bahut dukh,hi,0.148,Old Classics
Me siento frustrado aunque quiero música increíble,es,0.889,Salsa
Mood: ordinary,en,0.5,Funk
I am feeling defeated still I want vibrant music,en,0.898,Techno
Mood: euphoric,en,0.8,Techno
Me siento triste pero quiero música radiante,es,0.763,Latin Pop
Mood: weary,en,0.2,Emo
really euphoric,en,0.992,Techno
bahut thaka,hi,0.032,Old Classics
Mood: radiant,en,0.8,EDM
Mood: genial,es,0.8,Reggaeton
Mood: detached,en,0.5,Funk
Main pareshan hoon par mujhe khush gaane sunne hain,hi,0.92,Bhangra
I am feeling heartbroken however I want ecstatic music,en,0.946,Techno
Mood: bien,es,0.5,Merengue
really hyped,en,0.913,Techno
Mood: dukh,hi,0.2,Old Classics
Main udaas hoon lekin mujhe shandaar gaane sunne hain,hi,0.821,Bollywood Dance
Mood: dukh,hi,0.2,Bollywood Sad
bahut bechain,hi,0.119,Old Classics
really weary,en,0.14,Grunge
Mood: genial,es,0.8,Reggaeton
Mood: detached,en,0.5,Funk
really devastated,en,0.078,Emo
Mood: khamosh,hi,0.5,Indie-Pop
really blessed,en,0.951,Techno
really unstoppable,en,0.957,Techno
Me siento deprimido aún así quiero música genial,es,0.854,Reggaeton
muy animado,es,0.96,Salsa
really unstoppable,en,0.9,Techno
Mood: khushi,hi,0.8,Bhangra
Mood: zindadil,hi,0.8,Bhangra
muy harto,es,0.095,Latin Rock
muy triste,es,0.046,Latin Rock
Mood: radiant,en,0.8,EDM
bahut nirash,hi,0.104,Old Classics
muy harto,es,0.136,Latin Rock
Main pareshan hoon lekin mujhe mast gaane sunne hain,hi,0.767,Indie-Pop
muy deprimido,es,0.063,Latin Rock
Me siento harto sin embargo quiero música animado,es,0.851,Reggaeton
I am feeling weary yet I want radiant music,en,0.782,Pop
bahut kamal,hi,0.94,Bollywood Dance
muy enojado,es,0.14,Latin Rock
Me siento frustrado aunque quiero música entusiasmado,es,0.942,Salsa
Me siento harto sin embargo quiero música entusiasmado,es,0.806,Salsa
bahut utsahit,hi,0.881,Bollywood Dance
Main dukhy hoon phir bhi mujhe utsahit gaane sunne hain,hi,0.81,Bollywood Dance
Mood: gleeful,en,0.8,EDM
muy radiante,es,0.954,Salsa
Mood: mast,hi,0.8,Bollywood Dance
really radiant,en,0.898,Techno
Me siento agotado aunque quiero música animado,es,0.758,Merengue
Mood: ordinary,en,0.5,Funk
Mood: harto,es,0.2,Flamenco
Mood: saamanay,hi,0.5,Indie-Pop
muy animado,es,0.987,Reggaeton
I am feeling weary but I want ecstatic music,en,0.895,EDM
I am feeling defeated but I want blessed music,en,0.78,Pop
Mood: dukh,hi,0.2,Old Classics
Mood: alegre,es,0.8,Salsa
bahut dukh,hi,0.072,Bollywood Sad
Main dukh hoon phir bhi mujhe khush gaane sunne hain,hi,0.857,Bhangra
muy dolido,es,0.119,Latin Rock
muy triste,es,0.016,Latin Rock
Mood: khush,hi,0.8,Bollywood Dance
Mood: animado,es,0.8,Salsa
Mood: shant,hi,0.5,Sufi
Mood: khush,hi,0.8,Bollywood Dance
Main pareshan hoon magar mujhe zindadil gaane sunne hain,hi,0.898,Bollywood Dance
Mood: udaas,hi,0.2,Old Classics
really shattered,en,0.147,Grunge
Me siento solo sin embargo quiero música feliz,es,0.884,Salsa
Me siento dolido aún así quiero música entusiasmado,es,0.88,Salsa
Mood: pareshan,hi,0.2,Old Classics
Me siento solo pero quiero música increíble,es,0.797,Latin Pop
Mood: udaas,hi,0.2,Bollywood Sad
I am feeling heartbroken still I want euphoric music,en,0.792,Pop
Me siento triste sin embargo quiero música increíble,es,0.767,Merengue
Mood: stable,en,0.5,Pop
Mood: gloomy,en,0.2,Emo
muy triste,es,0.094,Latin Rock
muy deprimido,es,0.139,Latin Rock
Mood: shattered,en,0.2,Emo
Main dukhy hoon phir bhi mujhe anand gaane sunne hain,hi,0.816,Bollywood Dance
bahut nirash,hi,0.004,Bollywood Sad
Me siento triste sin embargo quiero música genial,es,0.902,Salsa
Mood: dukhy,hi,0.2,Bollywood Sad
bahut mast,hi,0.928,Bhangra
muy genial,es,0.974,Salsa
I am feeling weary still I want unstoppable music,en,0.774,Pop
Main nirash hoon magar mujhe shandaar gaane sunne hain,hi,0.892,Bollywood Dance
Mood: frustrado,es,0.2,Latin Rock
Main tanha hoon lekin mujhe kamal gaane sunne hain,hi,0.813,Bollywood Dance
really shattered,en,0.067,Emo
I am feeling shattered still I want gleeful music,en,0.812,Techno
Mood: feliz,es,0.8,Reggaeton
Mood: mellow,en,0.5,Pop
bahut anand,hi,0.86,Bollywood Dance
bahut khush,hi,0.981,Bhangra
Me siento dolido aunque quiero música animado,es,0.881,Reggaeton
bahut anand,hi,0.973,Bollywood Dance
Me siento frustrado aunque quiero música radiante,es,0.794,Merengue
Mood: radiant,en,0.8,EDM
Mood: pareshan,hi,0.2,Bollywood Sad
Mood: saamanay,hi,0.5,Sufi
bahut bechain,hi,0.112,Old Classics
Main bechain hoon magar mujhe anand gaane sunne hain,hi,0.764,Sufi
I am feeling weary however I want unstoppable music,en,0.947,Techno
Mood: deprimido,es,0.2,Latin Rock
Mood: calmado,es,0.5,Latin Pop
bahut zindadil,hi,0.918,Bhangra
Mood: shattered,en,0.2,Grunge
Main bechain hoon lekin mujhe utsahit gaane sunne hain,hi,0.771,Indie-Pop
Mood: dolido,es,0.2,Latin Rock
Mood: devastated,en,0.2,Grunge
muy deprimido,es,0.073,Flamenco
Me siento agotado aún así quiero música increíble,es,0.766,Merengue
bahut tanha,hi,0.132,Bollywood Sad
really empty,en,0.018,Emo
muy emocionado,es,0.913,Reggaeton
muy alegre,es,0.994,Reggaeton
I am feeling heartbroken however I want radiant music,en,0.938,EDM
I am feeling miserable but I want vibrant music,en,0.876,Techno
Main pareshan hoon phir bhi mujhe zindadil gaane sunne hain,hi,0.784,Sufi
really hyped,en,0.885,Techno
bahut kamal,hi,0.893,Bollywood Dance
Main thaka hoon phir bhi mujhe khushi gaane sunne hain,hi,0.91,Bhangra
Mood: entusiasmado,es,0.8,Reggaeton
bahut nirash,hi,0.014,Bollywood Sad
really vibrant,en,0.999,Techno
Main nirash hoon lekin mujhe khushi gaane sunne hain,hi,0.887,Bhangra
Me siento solo aunque quiero música genial,es,0.805,Reggaeton
Mood: ordinary,en,0.5,Pop
really ecstatic,en,1.0,Techno
Mood: fine,en,0.5,Funk
bahut pareshan,hi,0.027,Old Classics
muy dolido,es,0.114,Latin Rock
Mood: entusiasmado,es,0.8,Salsa
bahut pareshan,hi,0.126,Old Classics
muy increíble,es,0.983,Salsa
Mood: thik-thak,hi,0.5,Indie-Pop
Me siento harto aunque quiero música feliz,es,0.8,Latin Pop
I am feeling heartbroken but I want gleeful music,en,0.906,Techno
Main bechain hoon par mujhe shandaar gaane sunne hain,hi,0.778,Indie-Pop
Mood: genial,es,0.8,Salsa
Mood: bien,es,0.5,Merengue
Mood: bechain,hi,0.2,Old Classics
muy feliz,es,0.905,Reggaeton
Mood: mast,hi,0.8,Bollywood Dance
bahut shandaar,hi,0.945,Bollywood Dance
Mood: pareshan,hi,0.2,Bollywood Sad
bahut mast,hi,0.932,Bhangra
muy deprimido,es,0.059,Latin Rock
Me siento dolido aún así quiero música increíble,es,0.777,Merengue
Mood: gleeful,en,0.8,EDM
really gloomy,en,0.101,Emo
Mood: blessed,en,0.8,EDM
I am feeling shattered however I want hyped music,en,0.85,Techno
Mood: devastated,en,0.2,Grunge
Main tanha hoon par mujhe khushi gaane sunne hain,hi,0.893,Bhangra
Mood: khamosh,hi,0.5,Sufi
I am feeling weary but I want euphoric music,en,0.817,EDM
bahut utsahit,hi,0.873,Bollywood Dance
muy agotado,es,0.03,Latin Rock
Main nirash hoon par mujhe anand gaane sunne hain,hi,0.864,Bollywood Dance
muy entusiasmado,es,0.936,Salsa
Me siento dolido aunque quiero música genial,es,0.764,Latin Pop
bahut khushi,hi,0.908,Bollywood Dance
I am feeling miserable but I want gleeful music,en,0.773,Funk
bahut nirash,hi,0.029,Bollywood Sad
Me siento solo aún así quiero música alegre,es,0.839,Salsa
Me siento solo aunque quiero música feliz,es,0.935,Reggaeton
Mood: triste,es,0.2,Flamenco
Me siento dolido pero quiero música animado,es,0.921,Reggaeton
Me siento dolido aún así quiero música entusiasmado,es,0.775,Merengue
Mood: kamal,hi,0.8,Bollywood Dance
Mood: genial,es,0.8,Reggaeton
Mood: nirash,hi,0.2,Bollywood Sad
Mood: khushi,hi,0.8,Bollywood Dance
Mood: khamosh,hi,0.5,Sufi
Me siento dolido sin embargo quiero música feliz,es,0.893,Reggaeton
really weary,en,0.076,Grunge
Mood: ecstatic,en,0.8,Techno
Main nirash hoon phir bhi mujhe zindadil gaane sunne hain,hi,0.932,Bollywood Dance
Mood: dukhy,hi,0.2,Old Classics
really blessed,en,0.911,Techno
Mood: theek,hi,0.5,Indie-Pop
bahut nirash,hi,0.088,Bollywood Sad
Me siento enojado aunque quiero música alegre,es,0.864,Reggaeton
Main nirash hoon lekin mujhe anand gaane sunne hain,hi,0.791,Indie-Pop
Mood: empty,en,0.2,Emo
really radiant,en,0.883,Techno
Me siento dolido sin embargo quiero música radiante,es,0.87,Reggaeton
Main thaka hoon phir bhi mujhe zindadil gaane sunne hain,hi,0.87,Bhangra
Main nirash hoon par mujhe utsahit gaane sunne hain,hi,0.791,Indie-Pop
Mood: khamosh,hi,0.5,Sufi
Me siento frustrado sin embargo quiero música emocionado,es,0.844,Reggaeton
Mood: solo,es,0.2,Flamenco
Mood: triste,es,0.2,Flamenco
Mood: shattered,en,0.2,Grunge
bahut nirash,hi,0.07,Old Classics
I am feeling devastated still I want euphoric music,en,0.839,Techno
muy deprimido,es,0.024,Flamenco
Mood: dukhy,hi,0.2,Bollywood Sad
Mood: enojado,es,0.2,Flamenco
Main pareshan hoon phir bhi mujhe shandaar gaane sunne hain,hi,0.861,Bhangra
Mood: tranquilo,es,0.5,Merengue
Main dukh hoon par mujhe mast gaane sunne hain,hi,0.778,Indie-Pop
Mood: empty,en,0.2,Emo
bahut thaka,hi,0.018,Bollywood Sad
muy genial,es,0.922,Salsa
Mood: stable,en,0.5,Funk
bahut pareshan,hi,0.079,Old Classics
Mood: dukh,hi,0.2,Old Classics
Main bechain hoon phir bhi mujhe mast gaane sunne hain,hi,0.851,Bhangra
Main bechain hoon par mujhe khushi gaane sunne hain,hi,0.867,Bollywood Dance
I am feeling empty but I want radiant music,en,0.773,Pop
really empty,en,0.043,Grunge
bahut khushi,hi,0.976,Bollywood Dance
bahut bechain,hi,0.123,Old Classics
Mood: hyped,en,0.8,Techno
bahut nirash,hi,0.089,Bollywood Sad
Mood: animado,es,0.8,Reggaeton
bahut thaka,hi,0.025,Bollywood Sad
Mood: hyped,en,0.8,EDM
bahut kamal,hi,0.96,Bhangra
Mood: pareshan,hi,0.2,Old Classics
Me siento harto sin embargo quiero música radiante,es,0.766,Merengue
Mood: gloomy,en,0.2,Emo
I am feeling devastated still I want hyped music,en,0.925,EDM
Mood: vibrant,en,0.8,EDM
Mood: dukh,hi,0.2,Old Classics
Main udaas hoon par mujhe kamal gaane sunne hain,hi,0.774,Indie-Pop
Mood: defeated,en,0.2,Grunge
I am feeling miserable still I want hyped music,en,0.879,EDM
really radiant,en,0.907,Techno
bahut shandaar,hi,0.965,Bollywood Dance
Mood: animado,es,0.8,Salsa
Main tanha hoon magar mujhe kamal gaane sunne hain,hi,0.902,Bollywood Dance
Me siento agotado pero quiero música increíble,es,0.782,Merengue
Mood: ecstatic,en,0.8,EDM
Mood: khamosh,hi,0.5,Indie-Pop
muy emocionado,es,0.936,Salsa
Mood: detached,en,0.5,Funk
I am feeling weary but I want gleeful music,en,0.822,EDM
really weary,en,0.081,Emo
Mood: normal,es,0.5,Latin Pop
Me siento triste aún así quiero música emocionado,es,0.77,Latin Pop
Mood: blessed,en,0.8,EDM
Me siento enojado aún así quiero música radiante,es,0.763,Merengue
really defeated,en,0.052,Emo
Mood: defeated,en,0.2,Emo
bahut udaas,hi,0.124,Old Classics
really shattered,en,0.095,Grunge
Mood: shandaar,hi,0.8,Bollywood Dance
Mood: gloomy,en,0.2,Emo
Mood: deprimido,es,0.2,Flamenco
Main dukhy hoon magar mujhe zindadil gaane sunne hain,hi,0.877,Bollywood Dance
Me siento dolido sin embargo quiero música emocionado,es,0.84,Salsa
Main dukh hoon par mujhe utsahit gaane sunne hain,hi,0.927,Bhangra
I am feeling weary but I want unstoppable music,en,0.899,EDM
Main dukh hoon par mujhe shandaar gaane sunne hain,hi,0.797,Indie-Pop
Me siento harto pero quiero música emocionado,es,0.816,Salsa
really euphoric,en,0.863,EDM
Mood: saamanay,hi,0.5,Sufi
really empty,en,0.066,Grunge
Mood: ordinary,en,0.5,Funk
Mood: pareshan,hi,0.2,Old Classics
Me siento deprimido sin embargo quiero música increíble,es,0.825,Salsa
Mood: shattered,en,0.2,Emo
Me siento deprimido aunque quiero música animado,es,0.87,Salsa
really defeated,en,0.023,Grunge
muy radiante,es,0.993,Reggaeton
Mood: defeated,en,0.2,Emo
really ecstatic,en,0.959,Techno
Main tanha hoon magar mujhe mast gaane sunne hain,hi,0.782,Indie-Pop
Mood: defeated,en,0.2,Grunge
Mood: shant,hi,0.5,Indie-Pop
Me siento deprimido sin embargo quiero música radiante,es,0.911,Salsa
Mood: solo,es,0.2,Latin Rock
I am feeling empty however I want vibrant music,en,0.829,Techno
Mood: radiant,en,0.8,EDM
Mood: radiante,es,0.8,Reggaeton
I am feeling empty but I want ecstatic music,en,0.841,EDM
I am feeling miserable however I want blessed music,en,0.916,Techno
Mood: thik-thak,hi,0.5,Sufi
Mood: triste,es,0.2,Flamenco
Mood: harto,es,0.2,Flamenco
Mood: animado,es,0.8,Reggaeton
I am feeling shattered still I want blessed music,en,0.841,Techno
Main bechain hoon phir bhi mujhe shandaar gaane sunne hain,hi,0.891,Bollywood Dance
Mood: triste,es,0.2,Latin Rock
Mood: composed,en,0.5,Pop
muy dolido,es,0.096,Latin Rock
Mood: dukh,hi,0.2,Old Classics
really unstoppable,en,0.96,Techno
Mood: solo,es,0.2,Flamenco
Me siento harto aunque quiero música emocionado,es,0.865,Salsa
really gleeful,en,0.974,EDM
Mood: thik-thak,hi,0.5,Indie-Pop
muy dolido,es,0.067,Latin Rock
Main pareshan hoon par mujhe kamal gaane sunne hain,hi,0.891,Bollywood Dance
muy frustrado,es,0.069,Latin Rock
Main dukh hoon lekin mujhe utsahit gaane sunne hain,hi,0.866,Bhangra
Me siento harto aunque quiero música increíble,es,0.755,Merengue
bahut nirash,hi,0.092,Bollywood Sad
Mood: radiant,en,0.8,EDM
I am feeling gloomy but I want unstoppable music,en,0.923,EDM
bahut thaka,hi,0.143,Bollywood Sad
I am feeling empty still I want gleeful music,en,0.771,Funk
Mood: entusiasmado,es,0.8,Reggaeton
really empty,en,0.127,Grunge
bahut nirash,hi,0.07,Old Classics
bahut zindadil,hi,0.954,Bollywood Dance
Mood: deprimido,es,0.2,Latin Rock
really shattered,en,0.004,Emo
really empty,en,0.045,Grunge
Mood: ecstatic,en,0.8,EDM
I am feeling shattered but I want radiant music,en,0.939,Techno
Mood: devastated,en,0.2,Emo
muy animado,es,0.942,Reggaeton
I am feeling weary however I want vibrant music,en,0.817,EDM
Main pareshan hoon lekin mujhe khush gaane sunne hain,hi,0.899,Bollywood Dance
really weary,en,0.13,Grunge
Mood: khush,hi,0.8,Bollywood Dance
really unstoppable,en,0.994,Techno
Me siento agotado aún así quiero música animado,es,0.893,Reggaeton
I am feeling defeated still I want hyped music,en,0.861,Techno
bahut khushi,hi,0.956,Bhangra
Mood: empty,en,0.2,Emo
bahut utsahit,hi,0.985,Bhangra
Me siento frustrado sin embargo quiero música feliz,es,0.918,Reggaeton
Mood: dolido,es,0.2,Latin Rock
muy feliz,es,0.971,Reggaeton
Mood: agotado,es,0.2,Latin Rock
Mood: pareshan,hi,0.2,Bollywood Sad
I am feeling weary yet I want vibrant music,en,0.884,Techno
Me siento agotado aunque quiero música entusiasmado,es,0.751,Latin Pop
Mood: empty,en,0.2,Emo
I am feeling gloomy but I want hyped music,en,0.812,EDM
Mood: shattered,en,0.2,Emo
muy animado,es,0.874,Reggaeton
bahut anand,hi,0.941,Bhangra
Mood: solo,es,0.2,Flamenco
muy harto,es,0.015,Latin Rock
Main bechain hoon par mujhe kamal gaane sunne hain,hi,0.844,Bhangra
Mood: mellow,en,0.5,Funk
Mood: kamal,hi,0.8,Bhangra
really blessed,en,0.892,EDM
Me siento agotado aunque quiero música emocionado,es,0.812,Salsa
Mood: defeated,en,0.2,Grunge
muy emocionado,es,0.983,Reggaeton
I am feeling gloomy but I want blessed music,en,0.791,Funk
bahut dukhy,hi,0.096,Old Classics
Main pareshan hoon magar mujhe kamal gaane sunne hain,hi,0.879,Bollywood Dance
bahut khush,hi,0.893,Bollywood Dance
Mood: shattered,en,0.2,Emo
Main tanha hoon phir bhi mujhe khush gaane sunne hain,hi,0.778,Sufi
bahut shandaar,hi,0.869,Bollywood Dance
bahut nirash,hi,0.092,Bollywood Sad
Me siento frustrado pero quiero música radiante,es,0.894,Salsa
bahut khush,hi,0.981,Bollywood Dance
Mood: anand,hi,0.8,Bhangra
really gleeful,en,0.995,EDM
Mood: dolido,es,0.2,Latin Rock
bahut shandaar,hi,0.896,Bollywood Dance
Mood: equilibrado,es,0.5,Merengue
really euphoric,en,0.897,EDM
Mood: shant,hi,0.5,Sufi
